day,depth,distance,gap,hour,id,latitude,longitude,magnitude,minute,month,area,second,significance,time.full,year
8,8,0.50754814,306,1,pr16221005,18.8943,-67.4803,2.6,33,8,Puerto Rico,27,104,8/8/2016 1:33,2016
8,14,0.4347846,316.8,2,pr16221007,18.8155,-67.5556,2.6,34,8,Puerto Rico,21,104,8/8/2016 2:34,2016
8,73,0.61085439,309.6,2,pr16221010,18.8558,-66.0576,2.6,54,8,Puerto Rico,31,104,8/8/2016 2:54,2016
8,51.6,0,0,4,ak13836187,58.4186,-152.5832,2.6,35,8,Alaska,57,104,8/8/2016 4:35,2016
8,9,0.42580144,241.2,6,pr16221018,18.8113,-67.4503,2.6,9,8,Puerto Rico,49,104,8/8/2016 6:09,2016
8,50,0.75368652,255.6,11,pr16221021,19.068,-66.0316,2.6,7,8,Puerto Rico,58,104,8/8/2016 11:07,2016
8,98.8,0,208.7999833,13,ak13836593,52.0888,-174.4267,2.6,42,8,Alaska,3,104,8/8/2016 13:42,2016
9,6.266,0,30,4,us10006ca1,36.2144,-97.5718,2.6,56,8,Oklahoma,14,104,8/9/2016 4:56,2016
9,3.86,0.21,44,10,us10006ccv,36.2809,-97.5115,2.6,32,8,Oklahoma,19,104,8/9/2016 10:32,2016
9,119,0.05659386,147.6,18,pr16222007,18.2998,-66.7882,2.6,42,8,Puerto Rico,13,104,8/9/2016 18:42,2016
10,28,0.18595126,226.8,6,pr16223006,18.6636,-66.5483,2.6,27,8,Puerto Rico,55,104,8/10/2016 6:27,2016
11,7.56,0.219,63,4,us10006cva,36.1692,-96.9792,2.6,26,8,Oklahoma,37,105,8/11/2016 4:26,2016
11,5.38,0.02122,84,8,nc72673605,37.6301667,-118.9386667,2.6,51,8,California,41,105,8/11/2016 8:51,2016
11,45,0.39705536,331.2,22,pr16225000,18.691,-64.311,2.6,26,8,British Virgin Islands,56,104,8/11/2016 22:26,2016
12,55,0,0,13,ak13841513,51.7062,-176.8948,2.6,14,8,Alaska,9,104,8/12/2016 13:14,2016
12,0.2,0,0,15,ak13841646,57.0262,-157.8319,2.6,18,8,Alaska,41,104,8/12/2016 15:18,2016
12,30,0,0,16,ak13841660,70.7787,-145.8338,2.6,52,8,Alaska,34,104,8/12/2016 16:52,2016
13,14,0.25332491,342,4,pr16226007,17.7597,-66.8927,2.6,56,8,Puerto Rico,5,104,8/13/2016 4:56,2016
13,108.6,0,0,4,ak13841889,62.9154,-151.2892,2.6,57,8,Alaska,54,104,8/13/2016 4:57,2016
13,22,0.19852768,248.4,5,pr16226005,17.7695,-67.0491,2.6,1,8,Puerto Rico,51,104,8/13/2016 5:01,2016
15,5,0.021,70,20,us10006e17,36.4566,-98.7433,2.6,7,8,Oklahoma,19,104,8/15/2016 20:07,2016
15,0.94,0.01422,40,21,nc72678011,38.7591667,-122.7146667,2.6,58,8,California,56,104,8/15/2016 21:58,2016
16,6,0.1706799,216,5,pr16229002,17.843,-66.7645,2.6,21,8,Puerto Rico,54,104,8/16/2016 5:21,2016
16,17,0.5228195,316.8,9,pr16229004,18.843,-64.293,2.6,0,8,British Virgin Islands,20,104,8/16/2016 9:00,2016
16,5,0.053,90,12,us10006e5j,36.4906,-98.8068,2.6,53,8,Oklahoma,45,104,8/16/2016 12:53,2016
16,5.98,0.1514,215,14,ci37447647,32.232,-115.234,2.6,9,8,Mexico,56,104,8/16/2016 14:09,2016
16,5.717,0,58,22,us10006ebf,36.4559,-98.403,2.6,18,8,Oklahoma,56,104,8/16/2016 22:18,2016
17,100,0,0,0,ak13847067,59.8484,-153.0934,2.6,2,8,Alaska,52,104,8/17/2016 0:02,2016
17,9,0.37280084,223.2,3,pr16230002,18.76,-67.466,2.6,5,8,Puerto Rico,4,104,8/17/2016 3:05,2016
18,11,0.37459747,216,18,pr16231013,18.8075,-67.2827,2.6,11,8,Puerto Rico,8,104,8/18/2016 18:11,2016
18,30,0,0,19,ak13850976,57.2772,-154.2568,2.6,39,8,Alaska,31,104,8/18/2016 19:39,2016
19,40,0,0,3,ak13852081,59.6286,-147.626,2.6,57,8,Alaska,26,104,8/19/2016 3:57,2016
19,5,0,0,6,ak13852592,65.3438,-144.1555,2.6,19,8,Alaska,18,104,8/19/2016 6:19,2016
19,12,0.33866486,205.2,6,pr16232001,18.7155,-67.3945,2.6,53,8,Puerto Rico,57,104,8/19/2016 6:53,2016
19,5,0,0,7,ak13852844,65.6527,-144.3174,2.6,18,8,Alaska,49,104,8/19/2016 7:18,2016
19,44,0.7285337,295.2,10,pr16232004,19.083,-65.004,2.6,53,8,U.S. Virgin Islands,21,104,8/19/2016 10:53,2016
20,100,0,0,12,ak13858731,59.5778,-152.8702,2.6,16,8,Alaska,9,104,8/20/2016 12:16,2016
20,15,0,0,23,ak13861515,61.7192,-150.873,2.6,4,8,Alaska,44,104,8/20/2016 23:04,2016
21,5,0,0,21,ak13866271,58.8282,-134.3607,2.6,26,8,Alaska,40,104,8/21/2016 21:26,2016
22,15,0,0,6,ak13867965,61.8775,-147.1961,2.6,26,8,Alaska,9,104,8/22/2016 6:26,2016
22,5,0.169,39,16,us10006fvc,36.2677,-97.5697,2.6,35,8,Oklahoma,52,104,8/22/2016 16:35,2016
23,100,0,0,7,ak13873692,63.173,-150.3938,2.6,34,8,Alaska,30,104,8/23/2016 7:34,2016
23,15,0,0,12,ak13874179,63.2622,-143.2209,2.6,26,8,Alaska,21,104,8/23/2016 12:26,2016
25,25.3,0,0,16,ak13878842,54.0279,-162.0325,2.6,40,8,Alaska,36,104,8/25/2016 16:40,2016
31,3.28,0.0354,31,12,ci37644504,32.953,-115.7588333,2.61,5,7,California,7,105,7/31/2016 12:05,2016
27,4.17,0.1253,23,13,ci37640960,34.1613333,-116.8086667,2.62,59,7,California,44,107,7/27/2016 13:59,2016
15,1.27,0.213,59,18,mb80165864,45.7133333,-112.125,2.62,28,8,Montana,1,106,8/15/2016 18:28,2016
20,2.46,0.1411,33,7,ci37666024,33.2678333,-116.1113333,2.62,16,8,California,53,106,8/20/2016 7:16,2016
18,15.84,0.09125,143,0,ci37449223,32.6006667,-117.0703333,2.63,30,8,California,23,120,8/18/2016 0:30,2016
10,0.42,0.003948,45,3,nc72672835,38.8238333,-122.84,2.65,47,8,California,15,109,8/10/2016 3:47,2016
29,2.622,0.02181,107,11,hv61357261,19.4241667,-155.6226667,2.66,12,7,Hawaii,17,109,7/29/2016 11:12,2016
9,4.45,0.08093,83,12,nc72672485,36.2966667,-120.7921667,2.66,19,8,California,44,109,8/9/2016 12:19,2016
30,7.04,0.1262,47,21,ci37644008,34.9318333,-119.017,2.67,50,7,California,26,111,7/30/2016 21:50,2016
9,4.53,0.5803,304,14,nc72672520,40.391,-125.0896667,2.67,2,8,California,52,110,8/9/2016 14:02,2016
17,19.91,0.1662,242,8,nc72678786,40.2963333,-124.499,2.67,38,8,California,48,110,8/17/2016 8:38,2016
23,-0.64,0.01161,84,7,nc72683796,37.6356667,-118.8871667,2.67,10,8,California,14,112,8/23/2016 7:10,2016
29,2.862,0.02547,97,11,hv61357256,19.4276667,-155.6116667,2.68,6,7,Hawaii,31,110,7/29/2016 11:06,2016
30,9.44,0.01039,55,8,nc72668991,38.0786667,-122.1698333,2.68,53,7,California,10,145,7/30/2016 8:53,2016
27,75,1.15972503,342,4,pr16209003,19.3997,-64.2795,2.7,4,7,British Virgin Islands,37,112,7/27/2016 4:04,2016
27,5.411,0,36,13,us20006i5j,35.8519,-97.2366,2.7,12,7,Oklahoma,36,112,7/27/2016 13:12,2016
27,74,0.67463478,255.6,15,pr16209004,18.9866,-65.2505,2.7,38,7,Puerto Rico,54,112,7/27/2016 15:38,2016
28,5.429,0,58,9,us1000681q,36.6889,-98.2606,2.7,48,7,Oklahoma,27,112,7/28/2016 9:48,2016
28,68,0.2470367,262.8,20,pr16211001,18.141,-67.532,2.7,31,7,Puerto Rico,6,112,7/28/2016 20:31,2016
29,37,1.19745427,277.2,18,pr16211011,19.5128,-65.3137,2.7,36,7,Puerto Rico,46,112,7/29/2016 18:36,2016
30,40.9,0,0,1,ak13818907,53.9754,-163.3774,2.7,47,7,Alaska,45,112,7/30/2016 1:47,2016
30,18.65,0.743,208,7,us10006ctf,54.2313,-160.34,2.7,11,7,Alaska,16,112,7/30/2016 7:11,2016
30,36.67,1.144,251,7,us10006c6s,52.625,-166.5368,2.7,24,7,Alaska,38,112,7/30/2016 7:24,2016
30,15,0.38088568,270,8,pr16212005,18.7994,-67.3115,2.7,5,7,Puerto Rico,36,112,7/30/2016 8:05,2016
30,131.2,0,0,14,ak13819350,53.303,-167.3817,2.7,53,7,Alaska,56,112,7/30/2016 14:53,2016
31,70.6,0,107.9999914,12,ak13820788,58.9164,-152.3078,2.7,3,7,Alaska,31,112,7/31/2016 12:03,2016
1,18,0.16618833,183.6,6,pr16214000,18.5515,-67.4688,2.7,7,8,Puerto Rico,1,112,8/1/2016 6:07,2016
1,10,1.086961,255.5999796,6,ak13822990,52.4685,-167.0386,2.7,59,8,Alaska,25,112,8/1/2016 6:59,2016
2,108.9,0,25.19999798,7,ak13826652,60.2244,-152.7611,2.7,45,8,Alaska,34,112,8/2/2016 7:45,2016
4,61.4,0,0,0,ak13841711,51.9256,-172.6177,2.7,39,8,Alaska,58,112,8/4/2016 0:39,2016
4,51.1,0,0,6,ak13829801,59.1505,-150.9599,2.7,10,8,Alaska,36,112,8/4/2016 6:10,2016
4,10.9,0.337,67.36,8,nn00554484,38.6666,-119.3817,2.7,53,8,Nevada,42,115,8/4/2016 8:53,2016
4,5,0.4383779,255.5999796,22,ak13830962,56.6778,-157.3849,2.7,14,8,Alaska,24,112,8/4/2016 22:14,2016
5,3,0.117,48,2,us10006a8w,36.7528,-98.0782,2.7,54,8,Oklahoma,27,112,8/5/2016 2:54,2016
5,6.4,0,0,17,us10006fwx,51.807,-177.025,2.7,42,8,Alaska,36,112,8/5/2016 17:42,2016
5,9.1,0.194,44,18,nn00554856,38.2643,-118.7529,2.7,8,8,Nevada,26,112,8/5/2016 18:08,2016
7,1.61,0.577,58,5,us10006bxn,36.9248,-105.0812,2.7,28,8,Colorado,25,112,8/7/2016 5:28,2016
